Local_team_id,Game_ID,GAME_DATE,Local_MATCHUP,Local_WL,Local_FGM,Local_FGA,Local_FgPct,Local_FG3M,Local_FG3aPct,Local_FTM,Local_FTA,Local_FtPct,Local_OREB,Local_DREB,Local_AST,Local_STL,Local_BLK,Local_PF,Local_PTS,Local_TOV,Visitor_team_id,Visitor_MATCHUP,Visitor_WL,Visitor_FGM,Visitor_FGA,Visitor_FgPct,Visitor_FG3M,Visitor_FG3aPct,Visitor_FTM,Visitor_FTA,Visitor_FtPct,Visitor_OREB,Visitor_DREB,Visitor_AST,Visitor_STL,Visitor_BLK,Visitor_PF,Visitor_PTS,Visitor_TOV
1610612747,22100002,2021-10-19,LAL vs. GSW,L,45,95,0.474,15,0.357,9,19,0.474,5,40,21,7,4,25,114,18,1610612744,GSW @ LAL,W,41,93,0.441,14,0.359,25,30,0.833,9,41,30,9,2,18,121,17
1610612749,22100001,2021-10-19,MIL vs. BKN,W,48,105,0.457,17,0.378,14,18,0.778,13,41,25,8,9,19,127,8,1610612751,BKN @ MIL,L,37,84,0.44,17,0.531,13,23,0.565,5,39,19,3,9,17,104,13
1610612740,22100009,2021-10-20,NOP vs. PHI,L,39,93,0.419,13,0.433,6,9,0.667,10,34,28,5,6,16,97,14,1610612755,PHI @ NOP,W,44,85,0.518,13,0.52,16,20,0.8,6,41,24,9,5,11,117,13
1610612756,22100012,2021-10-20,PHX vs. DEN,L,36,87,0.414,14,0.378,12,17,0.706,11,34,23,9,3,18,98,18,1610612743,DEN @ PHX,W,44,83,0.53,17,0.436,5,9,0.556,6,40,25,9,1,20,110,19
1610612757,22100013,2021-10-20,POR vs. SAC,L,45,93,0.484,12,0.343,19,22,0.864,9,40,25,5,5,22,121,13,1610612758,SAC @ POR,W,42,92,0.457,17,0.415,23,29,0.793,7,36,24,6,4,22,124,10
1610612761,22100006,2021-10-20,TOR vs. WAS,L,30,97,0.309,7,0.206,16,22,0.727,19,35,14,10,4,21,83,19,1610612764,WAS @ TOR,W,36,81,0.444,5,0.185,21,26,0.808,7,44,20,14,8,17,98,22
1610612762,22100011,2021-10-20,UTA vs. OKC,W,40,91,0.44,14,0.298,13,15,0.867,12,41,18,6,5,19,107,10,1610612760,OKC @ UTA,L,34,91,0.374,7,0.2,11,18,0.611,15,35,19,4,2,15,86,15
1610612765,22100004,2021-10-20,DET vs. CHI,L,36,90,0.4,6,0.214,10,13,0.769,11,36,17,7,5,16,88,17,1610612741,CHI @ DET,W,37,86,0.43,7,0.304,13,15,0.867,9,39,18,8,5,19,94,17
1610612750,22100008,2021-10-20,MIN vs. HOU,W,42,87,0.483,16,0.421,24,31,0.774,13,33,26,18,12,22,124,18,1610612745,HOU @ MIN,L,40,88,0.455,11,0.333,15,22,0.682,12,29,21,13,3,25,106,24
1610612759,22100010,2021-10-20,SAS vs. ORL,W,49,98,0.5,13,0.433,12,18,0.667,13,30,32,8,3,22,123,8,1610612753,ORL @ SAS,L,35,86,0.407,9,0.31,18,23,0.783,13,31,17,6,6,20,97,16
1610612766,22100003,2021-10-20,CHA vs. IND,W,46,107,0.43,13,0.419,18,27,0.667,12,34,29,9,5,21,123,8,1610612754,IND @ CHA,L,42,90,0.467,17,0.362,21,24,0.875,8,43,29,2,10,24,122,17
1610612752,22100005,2021-10-20,NYK vs. BOS,W,51,105,0.486,17,0.378,19,27,0.704,7,48,27,9,10,22,138,19,1610612738,BOS @ NYK,L,48,117,0.41,21,0.368,17,23,0.739,15,41,34,13,9,24,134,18
1610612763,22100007,2021-10-20,MEM vs. CLE,W,53,100,0.53,14,0.424,12,12,1.0,13,40,28,8,8,15,132,12,1610612739,CLE @ MEM,L,47,93,0.505,14,0.368,13,18,0.722,7,29,38,6,5,17,121,11
1610612744,22100016,2021-10-21,GSW vs. LAC,W,43,83,0.518,15,0.484,14,22,0.636,10,43,27,5,4,20,115,21,1610612746,LAC @ GSW,L,42,96,0.438,14,0.35,15,21,0.714,8,31,24,9,2,25,113,7
1610612737,22100014,2021-10-21,ATL vs. DAL,W,45,94,0.479,15,0.429,8,9,0.889,6,49,31,8,9,16,113,13,1610612742,DAL @ ATL,L,31,93,0.333,13,0.302,12,13,0.923,10,40,16,7,3,21,87,15
1610612748,22100015,2021-10-21,MIA vs. MIL,W,51,96,0.531,15,0.429,20,31,0.645,11,47,28,8,2,26,137,11,1610612749,MIL @ MIA,L,32,84,0.381,12,0.286,19,29,0.655,5,33,19,6,0,26,95,15
1610612741,22100022,2021-10-22,CHI vs. NOP,W,47,89,0.528,14,0.5,20,25,0.8,11,35,32,9,7,14,128,14,1610612740,NOP @ CHI,L,42,87,0.483,15,0.517,13,16,0.813,9,33,26,7,5,20,112,17
1610612745,22100023,2021-10-22,HOU vs. OKC,W,48,95,0.505,17,0.447,11,14,0.786,10,44,29,12,10,18,124,17,1610612760,OKC @ HOU,L,34,91,0.374,14,0.326,9,16,0.563,8,31,22,9,4,21,91,19
1610612753,22100018,2021-10-22,ORL vs. NYK,L,33,83,0.398,17,0.395,13,15,0.867,9,37,24,5,3,18,96,19,1610612752,NYK @ ORL,W,44,88,0.5,24,0.444,9,17,0.529,6,32,34,10,4,19,121,11
1610612738,22100020,2021-10-22,BOS vs. TOR,L,32,82,0.39,11,0.324,8,11,0.727,10,32,19,6,12,19,83,25,1610612761,TOR @ BOS,W,42,100,0.42,10,0.286,21,21,1.0,21,39,22,16,2,13,115,12
1610612739,22100017,2021-10-22,CLE vs. CHA,L,43,84,0.512,9,0.29,17,20,0.85,7,29,26,9,3,15,112,19,1610612766,CHA @ CLE,W,48,91,0.527,13,0.406,14,17,0.824,11,35,32,13,1,16,123,18
1610612743,22100024,2021-10-22,DEN vs. SAS,W,44,86,0.512,9,0.3,5,8,0.625,8,33,26,10,2,21,102,21,1610612759,SAS @ DEN,L,40,84,0.476,6,0.25,10,14,0.714,7,32,24,11,2,17,96,20
1610612747,22100025,2021-10-22,LAL vs. PHX,L,34,86,0.395,15,0.441,22,29,0.759,12,34,25,7,3,26,105,16,1610612756,PHX @ LAL,W,42,86,0.488,10,0.313,21,28,0.75,7,40,31,8,2,22,115,12
1610612755,22100021,2021-10-22,PHI vs. BKN,L,43,91,0.473,14,0.389,9,11,0.818,5,30,17,8,9,21,109,10,1610612751,BKN @ PHI,W,41,88,0.466,12,0.316,20,24,0.833,11,36,26,6,6,16,114,13
1610612758,22100026,2021-10-22,SAC vs. UTA,L,39,99,0.394,8,0.222,15,21,0.714,16,36,20,15,5,22,101,15,1610612762,UTA @ SAC,W,37,90,0.411,16,0.381,20,23,0.87,13,38,16,14,3,17,110,19
1610612764,22100019,2021-10-22,WAS vs. IND,W,49,94,0.521,19,0.5,18,19,0.947,6,32,24,5,6,21,135,9,1610612754,IND @ WAS,L,52,97,0.536,15,0.441,15,20,0.75,7,35,28,5,6,22,134,12
1610612739,22100027,2021-10-23,CLE vs. ATL,W,37,89,0.416,7,0.25,20,27,0.741,12,42,23,6,6,16,101,10,1610612737,ATL @ CLE,L,38,99,0.384,10,0.294,9,15,0.6,17,37,20,5,3,23,95,9
1610612746,22100034,2021-10-23,LAC vs. MEM,L,43,99,0.434,13,0.333,15,17,0.882,14,30,23,7,4,21,114,7,1610612763,MEM @ LAC,W,42,90,0.467,15,0.417,21,25,0.84,13,35,26,5,3,19,120,11
1610612750,22100031,2021-10-23,MIN vs. NOP,W,39,96,0.406,12,0.316,6,10,0.6,13,34,22,13,8,25,96,20,1610612740,NOP @ MIN,L,31,89,0.348,9,0.225,18,23,0.783,21,40,15,10,5,22,89,30
1610612754,22100028,2021-10-23,IND vs. MIA,W,38,97,0.392,10,0.256,16,21,0.762,14,41,18,10,5,18,102,16,1610612748,MIA @ IND,L,35,91,0.385,9,0.273,12,14,0.857,10,45,18,4,2,25,91,22
1610612757,22100033,2021-10-23,POR vs. PHX,W,51,94,0.543,21,0.42,11,17,0.647,8,40,24,8,5,15,134,9,1610612756,PHX @ POR,L,43,89,0.483,9,0.321,10,15,0.667,7,31,27,6,1,19,105,14
1610612759,22100032,2021-10-23,SAS vs. MIL,L,48,99,0.485,10,0.256,5,6,0.833,10,28,29,10,4,18,111,13,1610612749,MIL @ SAS,W,44,83,0.53,15,0.429,18,22,0.818,7,37,21,6,5,15,121,22
1610612761,22100029,2021-10-23,TOR vs. DAL,L,34,85,0.4,11,0.297,16,23,0.696,11,38,17,7,6,23,95,12,1610612742,DAL @ TOR,W,38,91,0.418,14,0.333,13,18,0.722,13,37,24,6,6,22,103,9
1610612741,22100030,2021-10-23,CHI vs. DET,W,35,84,0.417,11,0.423,16,19,0.842,3,39,24,13,11,17,97,13,1610612765,DET @ CHI,L,34,88,0.386,5,0.179,9,15,0.6,11,42,14,9,8,17,82,23
1610612747,22100040,2021-10-24,LAL vs. MEM,W,45,84,0.536,16,0.533,15,22,0.682,9,27,29,10,12,14,121,17,1610612763,MEM @ LAL,L,45,100,0.45,13,0.371,15,18,0.833,18,31,25,13,4,20,118,17
1610612751,22100035,2021-10-24,BKN vs. CHA,L,38,87,0.437,9,0.257,10,12,0.833,9,35,18,10,8,19,95,17,1610612766,CHA @ BKN,W,43,94,0.457,10,0.333,15,19,0.789,10,38,26,10,5,17,111,12
1610612752,22100036,2021-10-24,NYK vs. ORL,L,37,100,0.37,13,0.271,17,25,0.68,16,36,20,8,8,21,104,12,1610612753,ORL @ NYK,W,36,88,0.409,12,0.279,26,34,0.765,10,47,22,7,4,25,110,13
1610612758,22100039,2021-10-24,SAC vs. GSW,L,42,86,0.488,15,0.326,8,13,0.615,10,37,26,0,4,16,107,19,1610612744,GSW @ SAC,W,43,97,0.443,13,0.351,20,24,0.833,14,29,26,12,3,13,119,7
1610612760,22100038,2021-10-24,OKC vs. PHI,L,40,84,0.476,8,0.258,15,19,0.789,6,36,24,9,4,17,103,11,1610612755,PHI @ OKC,W,41,88,0.466,17,0.415,16,20,0.8,12,35,25,4,9,17,115,12
1610612745,22100037,2021-10-24,HOU vs. BOS,L,32,75,0.427,14,0.438,19,24,0.792,5,35,20,7,4,20,97,20,1610612738,BOS @ HOU,W,38,86,0.442,15,0.319,16,20,0.8,6,37,22,10,6,22,107,12
1610612746,22100049,2021-10-25,LAC vs. POR,W,44,93,0.473,14,0.326,14,19,0.737,5,38,37,21,6,23,116,17,1610612757,POR @ LAC,L,32,85,0.376,8,0.216,14,18,0.778,7,40,15,11,4,18,86,30
1610612748,22100045,2021-10-25,MIA vs. ORL,W,41,87,0.471,6,0.222,19,19,1.0,9,33,28,10,2,19,107,11,1610612753,ORL @ MIA,L,33,81,0.407,12,0.273,12,19,0.632,6,33,21,7,6,22,90,18
1610612750,22100047,2021-10-25,MIN vs. NOP,L,31,90,0.344,15,0.3,21,27,0.778,11,30,20,10,7,19,98,11,1610612740,NOP @ MIN,W,39,87,0.448,10,0.333,19,23,0.826,15,45,19,5,5,20,107,20
1610612751,22100044,2021-10-25,BKN vs. WAS,W,40,94,0.426,10,0.286,14,17,0.824,7,47,23,6,4,19,104,9,1610612764,WAS @ BKN,L,33,95,0.347,9,0.231,15,20,0.75,10,43,16,5,5,17,90,12
1610612766,22100041,2021-10-25,CHA vs. BOS,L,46,103,0.447,19,0.432,18,28,0.643,14,38,26,4,6,25,129,14,1610612738,BOS @ CHA,W,50,101,0.495,19,0.38,21,25,0.84,11,42,33,8,9,23,140,12
1610612737,22100043,2021-10-25,ATL vs. DET,W,46,90,0.511,12,0.375,18,21,0.857,10,39,24,11,3,19,122,16,1610612765,DET @ ATL,L,40,91,0.44,9,0.273,15,18,0.833,11,25,26,7,6,15,104,14
1610612743,22100048,2021-10-25,DEN vs. CLE,L,35,86,0.407,9,0.237,8,12,0.667,11,36,21,10,3,22,87,22,1610612739,CLE @ DEN,W,38,82,0.463,7,0.28,16,20,0.8,11,38,26,8,5,18,99,16
1610612754,22100042,2021-10-25,IND vs. MIL,L,40,90,0.444,14,0.389,15,17,0.882,12,35,23,6,1,24,109,19,1610612749,MIL @ IND,W,41,85,0.482,11,0.344,26,31,0.839,7,35,24,13,6,19,119,14
1610612761,22100046,2021-10-25,TOR vs. CHI,L,40,83,0.482,12,0.4,16,20,0.8,13,34,27,8,1,18,108,21,1610612741,CHI @ TOR,W,39,81,0.481,12,0.444,21,22,0.955,5,24,24,11,3,16,111,13
1610612752,22100050,2021-10-26,NYK vs. PHI,W,41,87,0.471,16,0.432,14,15,0.933,13,32,24,7,5,18,112,15,1610612755,PHI @ NYK,L,36,82,0.439,12,0.293,15,17,0.882,12,28,24,9,4,14,99,15
1610612759,22100053,2021-10-26,SAS vs. LAL,L,48,108,0.444,13,0.361,12,22,0.545,16,43,33,10,6,22,121,16,1610612747,LAL @ SAS,W,50,105,0.476,8,0.267,17,22,0.773,9,47,20,8,10,21,125,13
1610612760,22100051,2021-10-26,OKC vs. GSW,L,36,86,0.419,12,0.353,14,17,0.824,9,33,19,7,3,18,98,14,1610612744,GSW @ OKC,W,39,83,0.47,14,0.35,14,18,0.778,7,39,30,9,8,20,106,15
1610612742,22100052,2021-10-26,DAL vs. HOU,W,43,93,0.462,12,0.279,18,25,0.72,14,36,25,9,7,22,116,15,1610612745,HOU @ DAL,L,36,86,0.419,16,0.41,18,26,0.692,11,38,24,7,3,21,106,17
1610612762,22100054,2021-10-26,UTA vs. DEN,W,44,85,0.518,12,0.308,22,29,0.759,8,33,20,5,6,22,122,14,1610612743,DEN @ UTA,L,42,83,0.506,10,0.357,16,24,0.667,5,30,19,9,3,23,110,13
1610612738,22100056,2021-10-27,BOS vs. WAS,L,37,85,0.435,10,0.345,23,28,0.821,10,27,18,9,5,21,107,13,1610612764,WAS @ BOS,W,43,84,0.512,9,0.36,21,29,0.724,11,36,18,8,7,20,116,16
1610612740,22100059,2021-10-27,NOP vs. ATL,L,40,93,0.43,11,0.306,8,9,0.889,9,35,24,5,6,19,99,10,1610612737,ATL @ NOP,W,40,96,0.417,8,0.267,14,17,0.824,21,34,21,4,4,14,102,11
1610612753,22100055,2021-10-27,ORL vs. CHA,L,43,88,0.489,15,0.375,10,13,0.769,8,25,22,6,2,21,111,19,1610612766,CHA @ ORL,W,43,83,0.518,14,0.467,20,24,0.833,10,30,22,14,4,14,120,17
1610612757,22100063,2021-10-27,POR vs. MEM,W,39,84,0.464,15,0.417,23,31,0.742,13,35,22,11,6,20,116,14,1610612763,MEM @ POR,L,35,96,0.365,17,0.34,9,19,0.474,21,29,27,9,3,25,96,22
1610612760,22100061,2021-10-27,OKC vs. LAL,W,43,86,0.5,15,0.405,22,29,0.759,10,32,21,8,3,16,123,16,1610612747,LAL @ OKC,L,46,92,0.5,11,0.314,12,14,0.857,10,30,29,8,2,22,115,17
1610612761,22100058,2021-10-27,TOR vs. IND,W,46,100,0.46,14,0.467,12,19,0.632,16,25,22,18,6,20,118,12,1610612754,IND @ TOR,L,38,79,0.481,10,0.345,14,17,0.824,9,31,19,6,7,19,100,23
1610612746,22100064,2021-10-27,LAC vs. CLE,L,31,87,0.356,9,0.22,8,13,0.615,9,27,19,13,2,24,79,14,1610612739,CLE @ LAC,W,33,81,0.407,3,0.15,23,27,0.852,14,43,12,9,3,14,92,21
1610612749,22100060,2021-10-27,MIL vs. MIN,L,39,95,0.411,14,0.275,16,21,0.762,13,30,22,10,3,18,108,9,1610612750,MIN @ MIL,W,43,91,0.473,13,0.289,14,17,0.824,10,39,29,5,4,20,113,17
1610612751,22100057,2021-10-27,BKN vs. MIA,L,33,85,0.388,14,0.326,13,14,0.929,4,38,21,7,7,24,93,16,1610612748,MIA @ BKN,W,38,96,0.396,8,0.276,22,26,0.846,17,45,21,6,2,19,106,15
1610612756,22100062,2021-10-27,PHX vs. SAC,L,42,93,0.452,6,0.273,17,24,0.708,14,42,23,6,6,16,107,11,1610612758,SAC @ PHX,W,42,95,0.442,15,0.395,11,15,0.733,8,32,28,7,6,20,110,12
1610612741,22100067,2021-10-28,CHI vs. NYK,L,36,84,0.429,11,0.344,20,22,0.909,5,32,25,6,5,18,103,7,1610612752,NYK @ CHI,W,39,85,0.459,11,0.379,15,20,0.75,11,38,16,5,7,21,104,13
1610612742,22100069,2021-10-28,DAL vs. SAS,W,41,89,0.461,18,0.4,4,13,0.308,9,36,18,4,7,19,104,13,1610612759,SAS @ DAL,L,39,88,0.443,12,0.4,9,15,0.6,11,37,21,6,11,16,99,15
1610612744,22100070,2021-10-28,GSW vs. MEM,L,39,90,0.433,14,0.35,9,12,0.75,7,41,29,8,7,17,101,23,1610612763,MEM @ GSW,W,39,97,0.402,12,0.25,14,14,1.0,10,41,25,17,9,14,104,18
1610612745,22100068,2021-10-28,HOU vs. UTA,L,31,95,0.326,9,0.205,20,23,0.87,13,28,15,8,3,24,91,11,1610612762,UTA @ HOU,W,41,85,0.482,16,0.348,24,30,0.8,10,48,24,8,4,23,122,20
1610612764,22100066,2021-10-28,WAS vs. ATL,W,46,99,0.465,13,0.382,17,21,0.81,14,37,26,6,4,16,122,9,1610612737,ATL @ WAS,L,48,88,0.545,6,0.286,9,14,0.643,6,37,26,4,3,16,111,13
1610612755,22100065,2021-10-28,PHI vs. DET,W,38,76,0.5,12,0.444,22,24,0.917,6,40,22,7,9,23,110,21,1610612765,DET @ PHI,L,35,86,0.407,13,0.333,19,27,0.704,10,27,22,11,4,22,102,14
1610612740,22100074,2021-10-29,NOP vs. SAC,L,42,98,0.429,9,0.265,16,25,0.64,13,36,18,9,6,22,109,10,1610612758,SAC @ NOP,W,40,80,0.5,9,0.333,24,25,0.96,3,42,19,4,5,20,113,14
1610612743,22100075,2021-10-29,DEN vs. DAL,W,43,83,0.518,11,0.306,9,13,0.692,5,46,28,8,3,24,106,20,1610612742,DAL @ DEN,L,23,78,0.295,8,0.216,21,27,0.778,6,30,14,8,3,17,75,15
1610612747,22100077,2021-10-29,LAL vs. CLE,W,46,84,0.548,12,0.444,9,10,0.9,11,31,24,9,6,20,113,22,1610612739,CLE @ LAL,L,37,87,0.425,12,0.353,15,22,0.682,16,20,28,10,1,13,101,15
1610612751,22100072,2021-10-29,BKN vs. IND,W,34,76,0.447,6,0.231,31,41,0.756,10,40,20,9,6,21,105,18,1610612754,IND @ BKN,L,37,93,0.398,8,0.276,16,23,0.696,11,35,20,9,7,27,98,14
1610612748,22100073,2021-10-29,MIA vs. CHA,W,43,91,0.473,9,0.257,19,19,1.0,16,44,23,6,3,20,114,18,1610612766,CHA @ MIA,L,35,90,0.389,13,0.351,16,22,0.727,11,26,21,8,6,17,99,11
1610612757,22100076,2021-10-29,POR vs. LAC,W,41,98,0.418,19,0.463,10,16,0.625,16,47,21,8,6,19,111,14,1610612746,LAC @ POR,L,34,87,0.391,15,0.357,9,16,0.563,6,37,17,7,5,14,92,13
1610612761,22100071,2021-10-29,TOR vs. ORL,W,43,86,0.5,9,0.3,15,22,0.682,9,31,18,11,2,18,110,8,1610612753,ORL @ TOR,L,41,87,0.471,16,0.471,11,16,0.688,12,34,24,1,5,24,109,17
1610612740,22100080,2021-10-30,NOP vs. NYK,L,42,92,0.457,11,0.333,22,24,0.917,12,31,30,7,3,24,117,12,1610612752,NYK @ NOP,W,42,81,0.519,19,0.576,20,25,0.8,5,32,22,7,4,21,123,12
1610612741,22100083,2021-10-30,CHI vs. UTA,W,39,91,0.429,5,0.238,24,30,0.8,9,36,16,8,5,19,107,9,1610612762,UTA @ CHI,L,35,92,0.38,11,0.289,18,19,0.947,14,40,15,5,7,21,99,20
1610612744,22100086,2021-10-30,GSW vs. OKC,W,39,92,0.424,21,0.389,4,8,0.5,10,46,30,9,8,21,103,16,1610612760,OKC @ GSW,L,29,83,0.349,8,0.205,16,21,0.762,3,42,14,8,6,8,82,16
1610612749,22100085,2021-10-30,MIL vs. SAS,L,36,89,0.404,10,0.256,11,16,0.688,9,43,20,6,2,18,93,21,1610612759,SAS @ MIL,W,39,95,0.411,7,0.226,17,24,0.708,8,41,28,12,3,13,102,10
1610612750,22100087,2021-10-30,MIN vs. DEN,L,35,89,0.393,13,0.317,8,9,0.889,15,31,21,8,6,23,91,20,1610612743,DEN @ MIN,W,36,88,0.409,9,0.243,12,16,0.75,14,34,24,11,10,15,93,18
1610612754,22100081,2021-10-30,IND vs. TOR,L,35,81,0.432,13,0.302,11,16,0.688,8,32,25,8,10,17,94,20,1610612761,TOR @ IND,W,39,92,0.424,11,0.344,8,12,0.667,12,36,18,8,4,17,97,18
1610612756,22100088,2021-10-30,PHX vs. CLE,W,39,84,0.464,6,0.231,17,27,0.63,8,44,27,12,3,14,101,15,1610612739,CLE @ PHX,L,36,91,0.396,14,0.318,6,7,0.857,10,37,21,8,3,21,92,19
1610612763,22100084,2021-10-30,MEM vs. MIA,L,34,88,0.386,16,0.32,19,21,0.905,8,24,26,14,7,17,103,14,1610612748,MIA @ MEM,W,46,88,0.523,21,0.568,16,19,0.842,11,39,31,12,2,17,129,18
1610612765,22100079,2021-10-30,DET vs. ORL,W,36,89,0.404,14,0.326,24,30,0.8,17,31,26,12,6,18,110,16,1610612753,ORL @ DET,L,38,87,0.437,16,0.5,11,15,0.733,12,34,21,5,6,21,103,18
